,Book Name,Author,Rating,Number of Reviews,Price,Description,hours,minutes,Genres Extracted
4265,Power Thoughts Devotional: 365 Daily Inspirations for Winning the Battle of the Mind,Joyce Meyer,4.8,834,469,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",2,30,"['Cooking', 'Plays']"
4266,"Master Your Time, Master Your Life: The Breakthrough System to Get More Results, Faster, in Every Area of Your Life",Brian Tracy,4.5,193,586,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4267,Life of Pi,Yann Martel,4.3,8093,797,Life of Pi - No description available.,5,20,"['Family Life Fiction', 'Family Life Fiction for Children', 'City Life Fiction']"
4268,Happier: Learn the Secrets to Daily Joy and Lasting Fulfillment,Tal Ben-Shahar,4.5,275,632,Happier: Learn the Secrets to Daily Joy and Lasting Fulfillment - No description available.,5,20,"['Language Learning', 'English Language Learning', 'Language Learning & Teaching']"
4274,The Effortless Experience: Conquering the New Battleground for Customer Loyalty,Matthew Dixon,4.6,202,879,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
4275,The Last House Guest,Megan Miranda,4.4,1133,1328,From the acclaimed New York Times best-selling author of All the Missing Girls comes a suspenseful new novel about an idyllic town in Maine dealing with the suspicious death of one of their own....,10,10,['Suspense']
4276,"The Seventh Scroll: Ancient Egypt, Book 2",Wilbur Smith,4.6,816,987,"The Seventh Scroll: Ancient Egypt, Book 2 - No description available.",5,20,"['Ancient History', 'Economics Books', 'Ancient Historical Fiction for Children']"
4279,The Pursuit of Happyness (Abridged),Chris Gardner,4.6,294,9390,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",10,10,"['Cooking', 'Plays']"
4280,Super Immunity: A Breakthrough Program to Boost the Body's Defenses and Stay Healthy All Year Round,Joel Fuhrman,4.6,1110,10378,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",10,10,"['Cooking', 'Plays']"
4281,The Energy Explosion,Robin Sharma,4.489294063,,585,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4282,Meditation and “Worldly Things”: Stepping out of Old Concepts of Right and Wrong,OSHO,4.489294063,,167,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",1,50,"['Cooking', 'Plays']"
4283,Zero Resistance Selling: Achieve Extraordinary Sales Results Using the World-Renowned Techniques of Psycho-Cybernetics,Maxwell Maltz,4.6,82,820,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4284,HBR Guide to Finance Basics for Managers,Harvard Business Review,4.4,141,501,HBR Guide to Finance Basics for Managers - No description available.,5,20,"['Personal Finance', 'Public Finance', 'Study Guides']"
4285,"Genius Ideas (Mostly): Tom Gates, Book 4",Liz Pichon,4.6,561,398,"Genius Ideas (Mostly): Tom Gates, Book 4 - No description available.",2,30,"['Creativity & Genius', 'History of Ideas', 'Economics Books']"
4289,Teach Us to Sit Still: A Sceptic's Search for Health and Healing,Tim Parks,4.3,101,752,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
4290,Teach Us to Sit Still: A Sceptic's Search for Health and Healing,Tim Parks,4.3,101,752,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4291,Directing Actors,Judith Weston,4.7,235,1172,Directing Actors - No description available.,10,10,['Biographies of Actors']
4292,"The Sicilian: Godfather, Book 2",Mario Puzo,4.3,506,721,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4295,Eye of the Needle,Ken Follett,4.6,2442,323,Eye of the Needle - No description available.,2,30,['Vision & Eye Problems']
4296,A Walk in the Woods,Bill Bryson,4.5,4078,683,A Walk in the Woods - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4297,"Runner's World Complete Book of Running: Everything You Need to Run for Weight Loss, Fitness, and Competition",Amby Burfoot,4.4,45,836,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4298,Origins: How the Earth Made Us,Lewis Dartnell,4.6,231,683,Origins: How the Earth Made Us - No description available.,5,20,['Art']
4299,Mindful Eating: A Guide to Rediscovering a Healthy and Joyful Relationship with Food,Jan Chozen Bays,4.6,58,879,Mindful Eating: A Guide to Rediscovering a Healthy and Joyful Relationship with Food - No description available.,5,20,"['Food', 'Mind']"
4300,Pride And Prejudice,Jane Austen,4.489294063,,1003,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",10,10,"['Cooking', 'Plays']"
4302,Devil's Cub,Georgette Heyer,4.6,445,653,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4303,The Art of Choosing,Sheena Iyengar,4.5,183,500,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",2,30,"['Cooking', 'Plays']"
4304,The Art of Choosing,Sheena Iyengar,4.5,183,500,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",2,30,['Plays']
4305,David Livingstone: Africa's Trailblazer (Christian Heroes: Then & Now),Janet Benge,4.7,86,680,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4323,"The Red Pyramid: The Kane Chronicles, Book 1",Rick Riordan,4.6,1387,888,"The Red Pyramid: The Kane Chronicles, Book 1 - No description available.",5,20,"['Music Books', 'Economics Books', 'Biology Books']"
4324,The Aladdin Factor: How to Ask for and Get What You Want in Every Area of Your Life,Mark Victor Hansen,4.3,152,1439,The Aladdin Factor: How to Ask for and Get What You Want in Every Area of Your Life - No description available.,10,10,"['Family Life Fiction', 'Family Life Fiction for Children', 'Sociology of Urban Areas']"
4326,Modern Monopolies: What It Takes to Dominate the 21st Century Economy,Nicholas L. Johnson,4.7,201,836,"What do Google, Snapchat, Tinder, Amazon, and Uber have in common, besides soaring market share? They're platforms - a new business model that has quietly become the only game in town, creating vast fortunes for its founders while dominating everyone's daily life. A platform, by definition, creates value by facilitating an exchange between two or more interdependent groups. So, rather than making things, they simply connect people.",5,20,"['Business Decision Making & Problem Solving', 'Marketing', 'New Business Enterprises']"
4328,"Shadow Princess: The Taj Mahal Trilogy, Book 3",Indu Sundaresan,4.2,104,820,"Shadow Princess: The Taj Mahal Trilogy, Book 3 - No description available.",5,20,"['Music Books', 'Economics Books', 'Biology Books']"
4329,Twelve Red Herrings,Alec McCowen,4.2,350,323,Twelve Red Herrings - No description available.,2,30,['Twelve-Step Programmes']
4330,The Brave Athlete: Calm the F--k Down and Rise to the Occasion,Simon Marshall PhD,4.5,134,1055,The Brave Athlete: Calm the F--k Down and Rise to the Occasion - No description available.,10,10,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4331,"Mindfulness, Bliss, and Beyond: A Meditator's Handbook",Ajahn Brahm,4.8,134,836,"Mindfulness, Bliss, and Beyond: A Meditator's Handbook - No description available.",5,20,['Mind']
4332,The World as I See It,Neil Berger (introduction),4.3,513,501,The World as I See It - No description available.,5,20,['Words']
4333,The Panama Papers: How the World's Rich and Powerful Hide Their Money,Frederik Obermaier,4.4,222,721,The Panama Papers: How the World's Rich and Powerful Hide Their Money - No description available.,5,20,['Words']
4335,The Art of War: The Art of Strategy,Sun Tzu,4.4,217,268,"By completing your purchase you agree to Audible’s Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.",1,46,"['Classic Literature', 'Classic Fiction']"
4336,Zen to Done: The Ultimate Simple Productivity System,Leo Babauta,4.1,122,234,Zen to Done: The Ultimate Simple Productivity System - No description available.,1,50,"['Judicial Systems', 'Time Management & Productivity', 'Zen Buddhism']"
4337,Machine Learning: The New AI: The MIT Press Essential Knowledge Series,Ethem Alpaydi,4,96,586,"Today, machine learning underlies a range of applications we use every day, from product recommendations to voice recognition - as well as some we don't yet use every day, including driverless cars. It is the basis of the new approach in computing where we do not write programs but collect data; the idea is to learn the algorithms for the tasks automatically from data. As computing devices grow more ubiquitous, a larger part of our lives and work is recorded digitally, and as ""Big Data"" has gotten bigger, the theory of machine learning - the foundation of efforts to process that data into knowledge - has also advanced.",4,24,"['History of Technology', 'Machine Theory & AI', 'Computer Science Books']"
4338,Steve Jobs: Technology Innovator and Apple Genius,Matt Doeden,4.489294063,,164,Steve Jobs: Technology Innovator and Apple Genius - No description available.,1,50,"['Creativity & Genius', 'Engineering & Technology', 'History of Technology']"
4339,So Other People Would Be Also Free: The Real Story of Rosa Parks for Kids,Tonya Leslie PhD,4.7,52,233,So Other People Would Be Also Free: The Real Story of Rosa Parks for Kids - No description available.,1,50,"['Commercial Real Estate', 'Free Enterprise', 'Real Estate Investments']"
4340,10 Skills for Effective Business Communication: Practical Strategies from the World's Greatest Leaders,Jessica Higgins JD MBA BB,4.6,43,501,Succeed in business with practical career strategies and communication skills from the world’s greatest leaders in 10 Skills for Effective Business Communication.,5,20,['Business Communication']
4341,"Bigshot Boss: Whittaker Brothers, Book 1",Cat Carmine,4.2,102,586,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4342,"The Shadow of What Was Lost: The Licanius Trilogy, Book 1",James Islington,4.4,1243,1340,"The Shadow of What Was Lost: The Licanius Trilogy, Book 1 - No description available.",10,10,"['Music Books', 'Economics Books', 'Biology Books']"
4345,Whole Again: Healing Your Heart and Rediscovering Your True Self After Toxic Relationships and Emotional Abuse,Jackson MacKenzie,4.7,539,879,Whole Again: Healing Your Heart and Rediscovering Your True Self After Toxic Relationships and Emotional Abuse - No description available.,5,20,"['Art', 'Relationships']"
4349,Battle for Bittora,Anuja Chauhan,4.2,83,836,Battle for Bittora - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4352,"Reasonable Faith, Third Edition: Christian Truth and Apologetics",William Lane Craig,4.7,251,937,"Reasonable Faith, Third Edition: Christian Truth and Apologetics - No description available.",5,20,['Christianity']
4353,Innercise: The New Science to Unlock Your Brain's Hidden Power,John Assaraf,4.7,258,668,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4354,Belonging: Remembering Ourselves Home,Toko-pa Turner,4.8,327,836,Belonging: Remembering Ourselves Home - No description available.,5,20,"['Buying & Selling Homes', 'Home & House Maintenance', 'Fiction on Orphans & Foster Homes for Children']"
4355,The Noonday Demon: An Atlas of Depression,Andrew Solomon,4.5,479,987,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4356,Ask for It: How Women Can Use the Power of Negotiation to Get What They Really Want,Polly Stone,4.4,116,1005,Ask for It: How Women Can Use the Power of Negotiation to Get What They Really Want - No description available.,10,10,"['Negotiating', '""Womens Fiction""', 'Women History']"
4357,Letters to a Young Poet: (Penguin Classics),Rainer Maria Rilke,4.6,71,615,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4358,"The Case of the Lucky Legs: Perry Mason Series, Book 3",Erle Stanley Gardner,4.5,75,670,"The Case of the Lucky Legs: Perry Mason Series, Book 3 - No description available.",5,20,"['Music Books', 'Economics Books', 'Biology Books']"
4359,11 Hours: A Romantic Thriller,Daniel Paul Singh,4.2,457,668,11 Hours: A Romantic Thriller - No description available.,5,20,"['Romantic Suspense', 'Romantic Comedy', 'Political Thrillers']"
4360,The 10X Rule by Grant Cardone - Book Summary,Dean Bokhari,4.489294063,,117,The 10X Rule by Grant Cardone - Book Summary - No description available.,1,50,"['Music Books', 'Economics Books', 'Biology Books']"
4362,The Third Realm: A Military Portal Fantasy LitRPG Series,Michael Chatfield,4.7,333,1003,The Third Realm: A Military Portal Fantasy LitRPG Series - No description available.,10,10,['Fantasy']
4363,Cilka's Journey: The Sequel to The Tattooist of Auschwitz,Heather Morris,4.8,3683,1328,Nominated in Best Fiction at the Audie Awards 2020.,10,10,"['Science Fiction', 'Political Fiction', 'Literature & Fiction']"
4364,"The Dragonet Prophecy: Wings of Fire, Book #1",Tui T. Sutherland,4.7,1091,820,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4365,"Try Softer: A Fresh Approach to Move Us out of Anxiety, Stress, and Survival Mode-and into a Life of Connection and Joy",Aundi Kolber,4.9,291,586,"Try Softer: A Fresh Approach to Move Us out of Anxiety, Stress, and Survival Mode-and into a Life of Connection and Joy - No description available.",5,20,['Movie']
4366,A Time to Die,Wilbur Smith,4.6,341,987,A Time to Die - No description available.,5,20,"['Fiction on Death & Dying for Teens', 'Time Management', 'Sociology of Death & Dying']"
4367,Tiddler,Julia Donaldson,4.8,1592,190,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",1,50,"['Cooking', 'Plays']"
4368,"Reasons to Believe: How to Understand, Defend, and Explain the Catholic Faith",Scott Hahn,4.6,216,586,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
4370,"The Classic Tales Podcast, Season Two",Charles Dickens,4.489294063,,914,"The Classic Tales Podcast, Season Two - No description available.",5,20,"['Classic Fiction', 'Fiction Classics for Children', 'Classic Literature']"
4371,The Leader's Guide to Radical Management: Reinventing the Workplace for the 21st Century,Stephen Denning,4.2,40,836,The Leader's Guide to Radical Management: Reinventing the Workplace for the 21st Century - No description available.,5,20,"['Biographies of Business Leaders', 'Study Guides', 'Workplace Culture']"
4372,The Sun and Her Flowers,Rupi Kaur,4.6,5148,233,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",1,50,"['Cooking', 'Plays']"
4373,The Sun and Her Flowers,Rupi Kaur,4.6,5148,233,The Sunday Times number one best seller,1,50,"['Time Travel Science Fiction', 'Time Travel Science Fiction for Children', 'Time Management']"
4376,Two Awesome Hours: Science-Based Strategies to Harness Your Best Time and Get Your Most Important Work Done,Josh Davis PhD,4.4,58,703,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4377,Thus Spake Zarathustra (AmazonClassics Edition),Friedrich Nietzsche,4.489294063,,1008,Thus Spake Zarathustra (AmazonClassics Edition) - No description available.,10,10,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4378,"Eat, Pray, #FML",Gabrielle Stone,4.6,361,703,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4379,"Eat, Pray, #FML",Gabrielle Stone,4.6,361,703,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
4380,Someone Like You,Nikita Singh,4.2,199,1005,Someone Like You - No description available.,10,10,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4381,"Animal Spirits: How Human Psychology Drives the Economy, and Why It Matters for Global Capitalism",Marc Vietor,4.3,145,836,"Animal Spirits: How Human Psychology Drives the Economy, and Why It Matters for Global Capitalism - No description available.",5,20,"['Capitalism', 'Psychology']"
4382,"The Wisdom of Life, Counsels and Maxims",Arthur Schopenhauer,4.4,36,915,"The Wisdom of Life, Counsels and Maxims - No description available.",5,20,"['Family Life Fiction for Children', 'Family Life Fiction', 'Counselling & Psychotherapy']"
4384,Indomitable Spirit,A.P.J. Abdul Kalam,4.5,75,668,Indomitable Spirit - No description available.,5,20,['Angels & Spirit Guides']
4385,"The Physicist and the Philosopher: Einstein, Bergson, and the Debate That Changed Our Understanding of Time",Jimena Canales,4.2,36,836,"The Physicist and the Philosopher: Einstein, Bergson, and the Debate That Changed Our Understanding of Time - No description available.",5,20,"['Philosophy', 'Physics']"
4387,The Devil Wears Prada,Lauren Weisberger,4.2,527,748,The Devil Wears Prada - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4388,Pigs Have Wings,P. G. Wodehouse,4.4,58,569,Pigs Have Wings - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4389,The Illustrated Man,Ray Bradbury,4.6,728,820,The Illustrated Man - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4390,9 from the Nine Worlds: Magnus Chase and the Gods of Asgard,Rick Riordan,4.6,749,615,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4392,Notes of a Dirty Old Man,Charles Bukowski,4.5,167,668,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4394,Aesop's Fables,Aesop,4.5,1499,113,Aesop's Fables - No description available.,1,50,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4401,The Masqueraders,Georgette Heyer,4.5,242,1407,The Masqueraders - No description available.,10,10,['Quran']
4405,Teachings on Love: How Mindfulness Can Enhance Your Intimate Relationships,Thich Nhat Hanh,4.7,82,585,Teachings on Love: How Mindfulness Can Enhance Your Intimate Relationships - No description available.,5,20,"['Mind', 'Relationships']"
4406,Eighteen (18): Based on a True Story,JA Huss,4.5,684,820,Eighteen (18): Based on a True Story - No description available.,5,20,"['True Accounts', 'True Crime', 'Short Stories']"
4407,C. S. Lewis: Essay Collection and Other Short Pieces,C. S. Lewis,4.489294063,,1171,C. S. Lewis: Essay Collection and Other Short Pieces - No description available.,10,10,['Essays']
4408,Raymond Chandler: The BBC Radio Drama Collection,Raymond Chandler,4.489294063,,752,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4409,Raymond Chandler: The BBC Radio Drama Collection,Raymond Chandler,4.489294063,,752,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
4410,Revolution from Within: A Book of Self-Esteem,Gloria Steinem,4.6,91,333,Revolution from Within: A Book of Self-Esteem - No description available.,2,30,"['Evolution', 'Self-Esteem']"
4411,"Mike's Mystery: The Boxcar Children Mysteries, Book 5",Gertrude Chandler Warner,4.7,54,234,"Mike's Mystery: The Boxcar Children Mysteries, Book 5 - No description available.",1,50,['Mysteries']
4417,"The Generals: Patton, MacArthur, Marshall, and the Winning of World War II",Winston Groom,4.6,241,1003,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",10,10,"['Cooking', 'Plays']"
4420,The Essence of the Bhagavad-Gita: Every Person's Guide to the All-Time Spiritual Classic,Steven Hartman,4.489294063,,1439,The Essence of the Bhagavad-Gita: Every Person's Guide to the All-Time Spiritual Classic - No description available.,10,10,"['Spirituality', 'Spiritualism', 'Lifestyle & Personal Style Guides']"
4421,Adaptive Markets: Financial Evolution at the Speed of Thought,Andrew W. Lo,4.5,102,1289,Adaptive Markets: Financial Evolution at the Speed of Thought - No description available.,10,10,['Evolution']
4422,Night,Elie Wiesel,4.7,3813,670,Night - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4424,"Wallace D. Wattles Trilogy: The Science of Getting Rich, The Science of Being Well, and The Science of Being Great",Wallace D. Wattles,4.6,62,668,"Wallace D. Wattles Trilogy: The Science of Getting Rich, The Science of Being Well, and The Science of Being Great - No description available.",5,20,['Science']
4425,The Attention Revolution: Unlocking the Power of the Focused Mind,B. Alan Wallace PhD,4.6,82,668,The Attention Revolution: Unlocking the Power of the Focused Mind - No description available.,5,20,"['Evolution', 'Mind']"
4426,The Talent Sutra: An Indian Approach to Learning,Devdutt Pattanaik,4.6,50,501,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4427,L'Etranger,Albert Camus,4.5,295,793,L'Etranger - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4428,Urdu Ki Aakhri Kitaab [The Last Book of Urdu],Ibn e Insha,4.489294063,,469,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",2,30,"['Cooking', 'Plays']"
4429,Last Train to Istanbul: A Novel,Ayse Kulin,4.2,3349,603,"Born into privilege to one of the last Ottoman pashas, beautiful, spirited Selva is the brightest jewel in her father’s household - until she falls in love with Rafael Alfandari. Though Turkey has long been a safe haven for Jews, marriage between a high-ranking Muslim girl and a Jewish boy is strictly forbidden. Yet young love will not be denied, and Selva and Rafael defy their parents and marry, fleeing to Paris in hopes of a better life - only to find themselves trapped in the path of the invading Nazis.",5,20,['Marriage']
4432,Synchrodestiny: Discover the Power of Meaningful Coincidence to Manifest Abundance in Your Life,Deepak Chopra,4.489294063,,1774,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",10,10,"['Cooking', 'Plays']"
4433,"The Amazing Maurice and His Educated Rodents: Discworld, Book 28 (Discworld Childrens Book 1)",Terry Pratchett,4.7,472,683,"Rats! They're everywhere: in the breadbins, dancing across tabletops, stealing pies from under the cooks' noses. So what does every town need? A good piper to lure them away.",5,20,"['Parenting Special Needs Children', 'Cooking', 'Small Town & Rural Fiction']"
4434,The Dhammapada Vol. 7: The Way of the Buddha,Osho,4.489294063,,502,The Dhammapada Vol. 7: The Way of the Buddha - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4437,Not Just an Accountant: The Diary of the Nation's Conscience Keeper,Vinod Rai,4.4,235,668,"Not Just an Accountant is an incisive, no-holds-barred account of India's 11th comptroller and auditor general and a symbol of the anti-corruption movement, Vinod Rai.",5,20,['Movie']
4438,Superfast Primetime Ultimate Nation,Adam Roberts,4.489294063,,721,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
4439,The Truth about Me: A Hijra Life Story,Sanjiv Jhaveri,4.2,52,836,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4440,A Simple Formula for Extraordinary Relationships,Robin Sharma,4.489294063,,468,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",2,30,['Plays']
4441,Yoga of Max's Discontent,Karan Bajaj,4.1,145,703,Yoga of Max's Discontent - No description available.,5,20,['Yoga']
4443,The Heatwave,Kate Riordan,4.3,112,888,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4444,Parenting from the Inside Out: How a Deeper Self-Understanding Can Help You Raise Children Who Thrive,Daniel J. Siegel,4.4,42,670,"""Dan Siegel and Mary Hartzell have quite deftly managed to translate highly complex neuroscientific and psychological matters into lay strategies for effective parenting."" (Marilyn B. Benoit, M.D., former president, American Academy of Child & Adolescent Psychiatry).",5,20,"['Art', 'Parenting']"
4451,The Windfall,Diksha Basu,4,148,569,The Windfall - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4453,Kings of the Wyld: Booktrack Edition,Nicholas Eames,4.6,1367,500,Kings of the Wyld: Booktrack Edition - No description available.,2,30,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4454,"They Call Me the Night Howler!: Goosebumps Slappyworld, Book 11",R. L. Stine,4.7,54,422,"They Call Me the Night Howler!: Goosebumps Slappyworld, Book 11 - No description available.",2,30,['Words']
4455,The Power of Favor: The Force That Will Take You Where You Can't Go on Your Own,Joel Osteen,4.8,628,500,Learn how declaring God's love will bless you with favor and fulfillment in this uplifting book - perfect for anyone who is determined to find success and spiritual inspiration.,2,30,"['Love & Romance', 'Spirituality', 'Spiritualism']"
4457,Lovecraft Country,Matt Ruff,4.7,893,323,Lovecraft Country - No description available.,2,30,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
4458,Superman: Dawnbreaker,Matt de la Peña,4.4,134,683,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4459,The Kind Worth Killing,Peter Swanson,4.4,2643,793,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4460,The Dao of Capital: Austrian Investing in a Distorted World,Mark Spitznagel,4.2,146,836,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4461,Ladies Coupe,Anita Nair,4.3,89,836,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
4462,"Deep Sleep with Medical Hypnosis: Find Restful, Restorative Sleep - Naturally",Steven Gurgevich Ph.D.,3.6,58,468,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",2,30,['Plays']
4463,"Grain Brain: The Surprising Truth About Wheat, Carbs, and Sugar - Your Brain's Silent Killers",David Perlmutter,4.6,5375,500,"Grain Brain: The Surprising Truth About Wheat, Carbs, and Sugar - Your Brain's Silent Killers - No description available.",2,30,"['Serial Killers True Crime', 'Low Carb Diets']"
4464,The Beauty Myth: How Images of Beauty Are Used Against Women,Naomi Wolf,4.5,306,836,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
4465,The Motivation Manifesto,Brendon Burchard,4.6,1195,703,The Motivation Manifesto - No description available.,5,20,['Business Motivation & Self-Improvement']
4466,God's Big Idea: Reclaiming God's Original Purpose for Your Life,Dr. Myles Munroe,4.8,54,410,God's Big Idea: Reclaiming God's Original Purpose for Your Life - No description available.,2,30,"['Databases & Big Data', 'Family Life Fiction', 'History of Ideas']"
4467,The Interpretation of Dreams [Russian Edition],Sigmund Freud,4.4,399,469,The Interpretation of Dreams [Russian Edition] - No description available.,2,30,"['Russian History', 'Russian Literature', 'Spirituality of Dreams']"
4468,Something Blue,Emily Giffin,4.5,756,820,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
4469,"To Sir, with Love",E. R. Braithwaite,4.6,292,1172,"To Sir, with Love - No description available.",10,10,['Love & Romance']
4470,Maoism: A Global History,Julia Lovell,4.4,53,1093,Maoism: A Global History - No description available.,10,10,['History']
4471,"The Guinevere Deception: Camelot Rising, Book 1",Kiersten White,4.4,188,1382,"The Guinevere Deception: Camelot Rising, Book 1 - No description available.",10,10,"['Hoax & Deception True Crime', 'Economics Books', 'Biology Books']"
4472,The World's Best Boyfriend,Durjoy Datta,4.1,1110,879,The World's Best Boyfriend - No description available.,5,20,['Words']
